respondent,influencers
78,"'Jared Spool','Tomer Sharon','Mike Monteiro','Kate Towsey'"
79,"'Chauncey Wilson','Steve Krug','Danielle Cooley','Carol Barnum','Robert Thomas','Rolf Molich','Thang Nguyen','Chris LaRoche','Jonathan Patrowicz','Steve Portigal'"
80,"'Ezio Manzini','Tim Brown','Mariana Salgado','Carlos Scolari'"
82,"'Indi Young','Kate Towsey'"
83,"Leisa Reichelt','Jason Fried','Kit Collingwood'"
84,"'Shannon Lamb','Elizabeth Zietlow','Michael Silverman','Greg Shephard'"
85,'Alan Siegel'
86,"'Erika Hall','Rosemarie Truglio','Shalom Finch','Donella Meadows','Sara Wachter-Boettcher','Lori Takeuchi'"
87,"'Donella Meadows','Cassie Kozyrkov','Leo Susskind','Elizabeth Churchill','Tricia Wang'"
88,"'Douglas Holt','Marty Neumeier','Erika Hall','Jeanne Liedtka','Tim Ogilvie'"
89,"'Tomer Sharon','Sandra Gonzalez','Tim Dixon'"
90,"'Dan Berlin','Tomer Sharon','Bethany Stolle'"
91,"'Clayton M. Christensen','Eric Ries','Jeff Gothelf','Jake Knapp','Laura Klein'"
93,"'Ann Thorpe','Hernan Marchant','Cecilia Mouat Croxatto','Erika Hall','Luke Wroblewski','Jared Spool'"
94,"'Leyla Acaroglu','Richard Buchanan','Jon Kolko'"
95,'Kassie Chaney'
96,"'Courtney Sneed','Susanne Cohen'"
97,"'David Travis','Philip Hodgson','Steve Portigal','Lynsey Thornton'"
101,"'Joe Dumas','Tomer Sharon','Susan Rice'"
105,"'Nate Bolt','Erika Hall','Lex Roman'"
106,"'Amy Buckner-Chowdry','Kat Holmes','Benjamin Evans'"
107,"'Ginny Redish','Joe Dumas','Judy Ramey','Jeff Rubin','Peter Morville','Jakob Nielsen'"
108,"'Pierre Bourdieu','Hubert Dreyfus','Marcel Mauss','Maurice Merleau-Ponty','Loiz Wacquant'"
109,'Dana Chisnell'
110,"'Richards J. Heuer','Laura Klein','Ginny Redish','John Ullmen'"
111,'Kate Towsey'
